Codigo;Setor
FLRY3;Outros
FLEX3;Outros
FRAS3;Veiculos e peças
G2DI33;Finanças e Seguros
GFSA3;Construção
OPGM3B;Outros
GSHP3;Outros
GEPA3;Energia Elétrica
GEPA4;Energia Elétrica
GGBR3;Siderur & Metalur
GGBR4;Siderur & Metalur
GOAU3;Siderur & Metalur
GOAU4;Siderur & Metalur
GETT3;Software e Dados
GETT4;Software e Dados
GETT11;Software e Dados
NINJ3;Comércio
GOLL3;Transporte Serviç
GOLL4;Transporte Serviç
GPIV33;Outros
GGPS3;Outros
CGRA3;Comércio
CGRA4;Comércio
GRND3;Textil
GMAT3;Comércio
NTCO3;Comércio
SBFG3;Comércio
SOMA3;Comércio
GUAR3;Textil
HBTS3;Outros
HBTS5;Outros
HBTS6;Outros
HAGA3;Siderur & Metalur
HAGA4;Siderur & Metalur
HAPV3;Outros
HBRE3;Construção
HBOR3;Construção
HETA3;Siderur & Metalur
HETA4;Siderur & Metalur
HBSA3;Transporte Serviç
HMOB3;Outros
HOOT3;Outros
HOOT4;Outros
HYPE3;Outros
IGBR3;Eletroeletrônicos
IGSN3;Outros
IGTI3;Outros
IGTI11;Outros
PARD3;Outros
MEAL3;Comércio
CATA3;Textil
CATA4;Textil
INEP3;Outros
INEP4;Outros
IFCM3;Comércio
INTB3;Eletroeletrônicos
INNT3;Construção
IVPR3B;Transporte Serviç
IVPR4B;Transporte Serviç
FIGE3;Outros
FIGE4;Outros
MYPK3;Veiculos e peças
RANI3;Papel e Celulose
IRBR3;Finanças e Seguros
ITSA3;Outros
ITSA4;Outros
ITUB3;Finanças e Seguros
ITUB4;Finanças e Seguros
JALL3;Outros
JBSS3;Alimentos e Beb
JHSF3;Construção
JFEN3;Construção
JOPA3;Alimentos e Beb
JOPA4;Alimentos e Beb
JSLG3;Transporte Serviç
KLAS3;Construção
CTKA3;Textil
CTKA4;Textil
KEPL3;Siderur & Metalur
KLBN3;Papel e Celulose
KLBN4;Papel e Celulose
KLBN11;Papel e Celulose
KRSA3;Outros
LAVV3;Construção
LLBI3;Comércio
LLBI4;Comércio
LLIS3;Textil
LMED3;Outros
LIGT3;Energia Elétrica
LTEL3B;Mineração
LTLA3B;Mineração
RENT3;Outros
LWSA3;Software e Dados
LOGG3;Construção
LOGN3;Transporte Serviç
AMAR3;Comércio
LREN3;Comércio
LPSB3;Outros
LUPA3;Siderur & Metalur
MDIA3;Alimentos e Beb
MSRO3;Outros
MGLU3;Comércio
MGEL3;Siderur & Metalur
MGEL4;Siderur & Metalur
POMO3;Veiculos e peças
POMO4;Veiculos e peças
MRFG3;Alimentos e Beb
MATD3;Outros
MSPA3;Papel e Celulose
MSPA4;Papel e Celulose
CASH3;Software e Dados
MELK3;Construção
MNZC3B;Transporte Serviç
BMEB3;Finanças e Seguros
BMEB4;Finanças e Seguros
MERC3;Finanças e Seguros
MERC4;Finanças e Seguros
BMIN3;Finanças e Seguros
BMIN4;Finanças e Seguros
MTIG3;Siderur & Metalur
MTIG4;Siderur & Metalur
LEVE3;Veiculos e peças
FRIO3;Máquinas Indust
MTSA3;Siderur & Metalur
MTSA4;Siderur & Metalur
MILS3;Outros
MMAQ3;Comércio
MMAQ4;Comércio
BEEF3;Alimentos e Beb
MNPR3;Alimentos e Beb
MTRE3;Construção
MMXM3;Mineração
MBLY3;Comércio
MODL3;Finanças e Seguros
MODL4;Finanças e Seguros
MODL11;Finanças e Seguros
MOAR3;Outros
MDNE3;Construção
MOVI3;Outros
MRSA3B;Transporte Serviç
MRSA5B;Transporte Serviç
MRSA6B;Transporte Serviç
MRVE3;Construção
MLAS3;Eletroeletrônicos
MULT3;Outros
MNDL3;Siderur & Metalur
NEOE3;Energia Elétrica
NGRD3;Software e Dados
NEXP3;Outros
BNBR3;Finanças e Seguros
NORD3;Máquinas Indust
NRTQ3;Química
NUTR3;Química
OPCT3;Mineração
ODER3;Alimentos e Beb
ODER4;Alimentos e Beb
ODPV3;Outros
OIBR3;Telecomunicações
OIBR4;Telecomunicações
MEGA3;Energia Elétrica
ONCO3;Outros
ORVR3;Energia Elétrica
OSXB3;Veiculos e peças
OFSA3;Química
PCAR3;Comércio
PCAR99;Comércio
PDTC3;Software e Dados
PGMN3;Comércio
PATI3;Siderur & Metalur
PATI4;Siderur & Metalur
PEAB3;Outros
PEAB4;Outros
PMAM3;Siderur & Metalur
PDGR3;Construção
RPMG3;Petróleo e Gas
PETR3;Petróleo e Gas
PETR4;Petróleo e Gas
RECV3;Petróleo e Gas
PRIO3;Petróleo e Gas
PTNT3;Textil
PTNT4;Textil
PETZ3;Comércio
PINE3;Finanças e Seguros
PINE4;Finanças e Seguros
PLPL3;Construção
PLAS3;Veiculos e peças
PPAR3;Outros
FRTA3;Agro e Pesca
PSSA3;Finanças e Seguros
PTBL3;Minerais não Met
POSI3;Eletroeletrônicos
PPLA11;Finanças e Seguros
PTCA3;Eletroeletrônicos
PTCA11;Eletroeletrônicos
PRNR3;Construção
PFRM3;Comércio
PRPT3B;Outros
QUAL3;Outros
QUSW3;Software e Dados
LJQQ3;Comércio
RADL3;Comércio
RAIZ4;Agro e Pesca
RAPT3;Veiculos e peças
RAPT4;Veiculos e peças
RCSL3;Veiculos e peças
RCSL4;Veiculos e peças
RDOR3;Outros
REDE3;Energia Elétrica
RNEW3;Energia Elétrica
RNEW4;Energia Elétrica
RNEW11;Energia Elétrica
RSUL3;Veiculos e peças
RSUL4;Veiculos e peças
RDNI3;Construção
RBNS11;Comércio
ROMI3;Máquinas Indust
RSID3;Construção
RAIL3;Transporte Serviç
SBSP3;Outros
SAPR3;Outros
SAPR4;Outros
SAPR11;Outros
SNSY3;Outros
SNSY5;Outros
SNSY6;Outros
SANB3;Finanças e Seguros
SANB4;Finanças e Seguros
SANB99;Finanças e Seguros
SANB11;Finanças e Seguros
CTSA3;Textil
CTSA4;Textil
STBP3;Transporte Serviç
SCAR3;Outros
SMTO3;Outros
SLED3;Outros
SLED4;Outros
SHUL3;Veiculos e peças
SHUL4;Veiculos e peças
CSAB3;Finanças e Seguros
CSAB4;Finanças e Seguros
SEQL3;Transporte Serviç
SEER3;Outros
CSNA3;Siderur & Metalur
SIMH3;Transporte Serviç
SQIA3;Software e Dados
SLCE3;Agro e Pesca
SMFT3;Outros
SOND3;Outros
SOND5;Outros
SOND6;Outros
SGPS3;Textil
AHEB3;Outros
AHEB5;Outros
AHEB6;Outros
STTR3;Máquinas Indust
STKF3;Energia Elétrica
OPSE3B;Outros
OPTS3B;Telecomunicações
SULA3;Finanças e Seguros
SULA4;Finanças e Seguros
SULA11;Finanças e Seguros
NEMO3;Outros
NEMO5;Outros
NEMO6;Outros
SUZB3;Papel e Celulose
SYNE3;Outros
TAEE3;Energia Elétrica
TAEE4;Energia Elétrica
TAEE11;Energia Elétrica
TASA3;Siderur & Metalur
TASA4;Siderur & Metalur
TRAD3;Software e Dados
TECN3;Outros
TCSA3;Construção
TCNO3;Outros
TCNO4;Outros
TGMA3;Transporte Serviç
TEGA3;Construção
TEKA3;Textil
TEKA4;Textil
TKNO3;Siderur & Metalur
TKNO4;Siderur & Metalur
TELB3;Telecomunicações
TELB4;Telecomunicações
VIVT3;Telecomunicações
TEND3;Construção
LAND3;Outros
TXRX3;Textil
TXRX4;Textil
TIMS3;Telecomunicações
SHOW3;Outros
TOTS3;Software e Dados
TFCO4;Comércio
TRPL3;Energia Elétrica
TRPL4;Energia Elétrica
LUXM3;Outros
LUXM4;Outros
TRIS3;Construção
TPIS3;Transporte Serviç
TUPY3;Veiculos e peças
UGPA3;Petróleo e Gas
UCAS3;Outros
FIQE3;Telecomunicações
UNIP3;Química
UNIP5;Química
UNIP6;Química
UPKP3B;Energia Elétrica
USIM3;Siderur & Metalur
USIM5;Siderur & Metalur
USIM6;Siderur & Metalur
VALE3;Mineração
VLID3;Outros
VAMO3;Outros
VIIA3;Comércio
VBBR3;Petróleo e Gas
VITT3;Agro e Pesca
VIVA3;Comércio
VVEO3;Comércio
VIVR3;Construção
VULC3;Textil
LVTC3;Comércio
WEGE3;Máquinas Indust
WEST3;Comércio
MWET3;Veiculos e peças
MWET4;Veiculos e peças
WHRL3;Eletroeletrônicos
WHRL4;Eletroeletrônicos
PORT3;Transporte Serviç
WIZS3;Finanças e Seguros
WLMM3;Comércio
WLMM4;Comércio
YBRA3B;Outros
YDUQ3;Outros
BIDI3;Finanças e Seguros
BIDI4;Finanças e Seguros
